suite,T,D,h,sign,B,K,stress,method,n,execution_regret_mean,execution_regret_se,audits_mean,audits_se,total_regret_mean,total_regret_se,final_scale_mean,final_scale_se
horizon,512,0.2,0.1,-1,64,2,0.0,SC-UCB,256,11.156640625000028,0.18406259720434012,64.0,0.0,23.95664062500003,0.18406259720434012,0.3912353515625,0.006508772399305524
horizon,512,0.2,0.1,-1,64,2,0.0,Oracle-scale UCB,256,11.646289062500033,0.1626629544284872,0.0,0.0,11.646289062500033,0.1626629544284872,0.4000000000000001,6.952486265422992e-18
horizon,512,0.2,0.1,-1,64,2,0.0,Naive proxy UCB,256,18.08750000000012,0.13510758467338174,0.0,0.0,18.08750000000012,0.13510758467338174,1.0,0.0
horizon,512,0.2,0.1,-1,64,2,0.0,Rank-only UCB,256,7.238867187499993,0.1348979945215088,0.0,0.0,7.238867187499993,0.1348979945215088,0.0,0.0
horizon,512,0.2,0.1,-1,64,2,0.0,Audit-only ETC,256,7.6375000000000535,0.6224196735322617,64.0,0.0,20.437500000000057,0.6224196735322617,0.3912353515625,0.006508772399305524
horizon,512,0.2,0.1,-1,64,2,0.0,Audit-all UCB,256,9.54082031250001,0.1560000907203422,512.0,0.0,111.94082031250002,0.15600009072034218,0.3971405029296875,0.0023460415548694474
horizon,512,0.2,0.1,1,64,2,0.0,SC-UCB,256,7.746484374999974,0.11239201065083924,64.0,0.0,20.546484374999977,0.11239201065083926,0.5977783203125,0.005794868177915165
horizon,512,0.2,0.1,1,64,2,0.0,Oracle-scale UCB,256,7.885807291666641,0.1146487921939622,0.0,0.0,7.885807291666641,0.1146487921939622,0.5999999999999999,1.3904972530845984e-17
horizon,512,0.2,0.1,1,64,2,0.0,Naive proxy UCB,256,4.967317708333317,0.08994132588214966,0.0,0.0,4.967317708333317,0.08994132588214966,1.0,0.0
horizon,512,0.2,0.1,1,64,2,0.0,Rank-only UCB,256,12.098828124999958,0.09087453752224917,0.0,0.0,12.098828124999958,0.09087453752224917,0.0,0.0
horizon,512,0.2,0.1,1,64,2,0.0,Audit-only ETC,256,6.841666666666644,0.4554221269607887,64.0,0.0,19.641666666666648,0.4554221269607888,0.5977783203125,0.005794868177915165
horizon,512,0.2,0.1,1,64,2,0.0,Audit-all UCB,256,7.419140624999975,0.10627527491923798,512.0,0.0,109.81914062499999,0.10627527491923801,0.598663330078125,0.002092761847026152
horizon,2048,0.2,0.1,-1,162,2,0.0,SC-UCB,256,42.41777343749969,0.6529748060119982,162.0,0.0,74.81777343749968,0.6529748060119982,0.39190297067901236,0.004200935906136904
horizon,2048,0.2,0.1,-1,162,2,0.0,Oracle-scale UCB,256,42.1251953124997,0.6485749838332375,0.0,0.0,42.1251953124997,0.6485749838332375,0.4000000000000001,6.952486265422992e-18
horizon,2048,0.2,0.1,-1,162,2,0.0,Naive proxy UCB,256,84.12617187499737,0.34686577333684937,0.0,0.0,84.12617187499737,0.34686577333684937,1.0,0.0
horizon,2048,0.2,0.1,-1,162,2,0.0,Rank-only UCB,256,18.424218750000126,0.330608188899264,0.0,0.0,18.424218750000126,0.330608188899264,0.0,0.0
horizon,2048,0.2,0.1,-1,162,2,0.0,Audit-only ETC,256,27.256640624999147,2.5436102502649374,162.0,0.0,59.65664062499917,2.5436102502649383,0.39190297067901236,0.004200935906136904
